CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
71;SR5PN;OFF;145,662500;DUP-;0,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6625;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
72;SR5R;OFF;145,600000;DUP-;0,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
73;SR5RA;OFF;438,925000;DUP-;7,600000;FM;OFF;2;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,925;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
74;SR5RAD;OFF;145,787500;DUP-;0,600000;FM;OFF;2;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7875;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
75;SR5RK;OFF;438,750000;DUP-;7,600000;FM;OFF;2;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,75;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
76;SR5RR;OFF;439,275000;DUP-;7,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,275;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
77;SR5S;OFF;145,612500;DUP-;0,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6125;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
78;SR5UR;OFF;439,300000;DUP-;7,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,3;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
79;SR5VW;OFF;438,825000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,825;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
80;SR5W;OFF;145,750000;DUP-;0,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,75;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
81;SR5WA;OFF;439,350000;DUP-;7,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,35;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
82;SR5WP;OFF;438,625000;DUP-;7,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,625;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
83;SR5WWL;OFF;438,462500;DUP-;7,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,4625;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
84;SR5WZ;OFF;439,000000;DUP-;7,600000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
85;SR5ZU;OFF;438,700000;DUP-;7,600000;FM;OFF;2;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,7;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
